Date,CornOpen,CornHigh,CornLow,CornClose,UsagOpen,UsagHigh,UsagLow,UsagClose,SoyOpen,SoyHigh,SoyLow,SoyClose
9/19/11,45.459999,46.720001,42.400002,42.450001,,,,,24.549999,25.110001,23,23
9/26/11,42.400002,44.560001,39.82,39.880001,,,,,23.32,23.48,22.129999,22.129999
10/3/11,39.169998,41.330002,38.720001,40.549999,,,,,22.01,22.09,21.59,21.73
10/10/11,40.790001,43.310001,40.599998,42.990002,,,,,22.18,24.4,21.92,23.280001
10/17/11,42.630001,44,41.959999,43.34,,,,,22.799999,23.24,22.120001,22.58
10/24/11,43.790001,43.919998,42.450001,43.810001,,,,,22.85,23.08,22.48,22.610001
10/31/11,43.41,43.869999,42.07,43.540001,,,,,22.33,22.77,21.959999,22.52
11/7/11,43.700001,44.209999,41.73,42.040001,,,,,22.5,22.5,21.59,21.59
11/14/11,41.779999,42.41,39.75,40.23,,,,,21.799999,22.23,21.6,21.6
11/21/11,39.810001,39.91,38.380001,38.5,,,,,21.120001,21.25,20.5,20.530001
11/28/11,39.09,40.119999,38.849998,39.189999,,,,,20.610001,21.139999,20.610001,20.969999
12/5/11,39.560001,39.57,38.25,38.959999,,,,,20.969999,21,20.42,20.42
12/12/11,38.580002,39.310001,37.799999,38.310001,,,,,20.42,20.780001,20.42,20.780001
12/19/11,38.880001,40.709999,38.880001,40.41,,,,,20.9,22.440001,20.82,21.32
12/26/11,40.27,41.990002,40.16,41.98,,,,,21.41,22.059999,21.41,22.059999
1/2/12,42.73,42.990002,41.259998,41.349998,,,,,22,22.379999,21.49,21.5
1/9/12,42.049999,42.52,38.950001,39.189999,,,,,21.93,22.139999,20.85,21.16
1/16/12,39.549999,39.549999,38.599998,39.450001,,,,,21.209999,21.379999,21.110001,21.34
1/23/12,39.700001,41.200001,39.34,41.07,,,,,21.34,21.99,21.34,21.75
1/30/12,40.669998,41.59,40.25,41.290001,,,,,21.65,22.040001,21.1,22.040001
2/6/12,41.310001,41.450001,40.07,40.150002,,,,,22.049999,22.200001,21.389999,22.08
2/13/12,40.43,41.029999,39.849998,40.639999,,,,,21.959999,22.639999,21.959999,22.459999
2/20/12,40.509998,40.540001,39.869999,40.27,,,,,22.42,22.879999,22.32,22.59
2/27/12,39.919998,41.310001,39.900002,41.130001,,,,,22.549999,23.360001,21.299999,23.299999
3/5/12,41.25,41.599998,39.639999,40.18,,,,,23.35,23.59,22.83,23.59
3/12/12,40.509998,41.639999,40.18,41.57,,,,,23.530001,24.790001,23.030001,23.940001
3/19/12,41.380001,41.400002,39.630001,40.040001,,,,,23.950001,23.950001,23.33,23.9
3/26/12,39.959999,40.43,37.509998,39.259998,,,,,23.68,24.280001,23.34,24.1
4/2/12,39.209999,39.900002,38.880001,39.650002,,,,,24.450001,24.6,24.25,24.42
4/9/12,39.669998,39.720001,38.060001,38.23,,,,,24.4,24.77,23.799999,24.370001
4/16/12,38,38.490002,37.009998,37.509998,,,,,24.200001,24.4,23.73,23.959999
4/23/12,37.669998,38.779999,37.470001,38.349998,,,,,23.9,24.58,23.9,24.530001
4/30/12,38.630001,38.889999,36.66,37.509998,,,,,24.309999,24.799999,23.91,23.91
5/7/12,37.25,38,35.23,35.68,24.09,24.129999,23.950001,23.950001,23.65,24.200001,22.969999,23.15
5/14/12,35.650002,37.900002,35.529999,37.34,23.950001,24.469999,23.879999,24.32,22.33,23.16,22.25,22.459999
5/21/12,37.549999,38.110001,35.619999,36.419998,24.49,24.530001,23.48,23.709999,22.84,23.1,22.01,22.15
5/28/12,36.23,36.709999,35.52,35.68,23.549999,23.790001,23.15,23.32,22.52,22.969999,22.129999,22.27
6/4/12,36.279999,37.830002,35.400002,37.689999,23.99,24,23.280001,23.950001,22.32,23.66,22.190001,23.24
6/11/12,37.639999,37.68,35.240002,35.470001,23.950001,23.950001,23.51,23.51,23.440001,23.5,18.27,22.959999
