Date,Price,Open,High,Low,Vol.,Change %
5/29/18,400,408.5,410,397.5,-,-2.14%
5/28/18,408.75,409,409,408.75,-,0.68%
5/25/18,406,404,406.75,403.25,129.41K,0.43%
5/24/18,404.25,408.25,412.25,403.75,236.84K,-1.04%
5/23/18,408.5,404.5,409,403,163.38K,0.93%
5/22/18,404.75,402.25,407,401,166.30K,0.50%
5/21/18,402.75,405.5,407.5,401.25,181.09K,0.25%
5/20/18,401.75,401.75,401.75,401.75,-,-0.19%
5/18/18,402.5,395.25,403.5,395,181.91K,1.83%
5/17/18,395.25,399,402,395,147.54K,-1.00%
5/16/18,399.25,401.75,404.75,398,171.92K,-0.75%
5/15/18,402.25,396.25,402.5,396,190.99K,3.41%
5/14/18,389,388.5,388.75,387.5,0.20K,-0.19%
5/11/18,389.75,394,394.75,389.75,0.50K,-1.27%
5/10/18,394.75,395.5,399.75,393.25,0.60K,0.00%
5/9/18,394.75,396.25,397,394,0.91K,-0.19%
5/8/18,395.5,392.75,396,391.25,2.02K,0.57%
5/7/18,393.25,397.25,397.5,393.25,1.96K,-2.90%
5/6/18,405,405,405,405,-,1.57%
5/4/18,398.75,399.5,400,397.5,2.09K,-0.19%
5/3/18,399.5,396,399.5,395,1.32K,0.88%
5/2/18,396,396.25,397.25,395,3.18K,-0.19%
5/1/18,396.75,393,397,391.5,7.50K,1.08%
4/30/18,392.5,390.75,395.75,390.5,19.34K,0.77%
4/27/18,389.5,385.25,390.5,385.25,165.58K,0.91%
4/26/18,386,386,387,384,132.00K,-0.13%
4/25/18,386.5,381,387.25,380.5,148.79K,1.38%
4/24/18,381.25,378.5,381.5,377,115.02K,0.73%
4/23/18,378.5,376.5,379.25,376.25,151.35K,0.46%
4/22/18,376.75,376.75,376.75,376.75,-,0.07%
4/20/18,376.5,381.25,381.75,376.25,156.69K,-1.44%
4/19/18,382,382.75,383.5,380.75,113.02K,-0.26%
4/18/18,383,380.75,383.5,380,142.85K,0.72%
4/17/18,380.25,383,384.5,379.75,239.87K,-0.59%
4/16/18,382.5,385,386.25,382,175.61K,-0.97%
4/13/18,386.25,388.5,389.25,385,233.79K,-0.64%
4/12/18,388.75,386.5,389.25,385,201.80K,0.45%
4/11/18,387,389.25,390.5,385.75,158.05K,-0.58%
4/10/18,389.25,390,392.25,388.5,272.80K,-0.38%
4/9/18,390.75,389.75,392.5,388.75,215.39K,0.58%
4/6/18,388.5,382,390,382,309.02K,-0.26%
4/5/18,389.5,382,389.5,380.75,263.91K,2.23%
4/4/18,381,388,389,372,367.00K,-1.93%
4/3/18,388.5,387,392,386.75,211.50K,0.32%
4/2/18,387.25,389.25,392.5,387,207.53K,-0.13%
3/29/18,387.75,373.75,389.25,373.75,377.91K,3.82%
3/28/18,373.5,374.25,375,372,173.54K,-0.13%
3/27/18,374,374,376,372.25,134.33K,0.00%
3/26/18,374,378.5,380.75,373.5,183.53K,-0.86%
3/23/18,377.25,376.25,378.25,369.25,279.20K,0.33%
3/22/18,376,375.5,377.5,374,161.68K,0.27%
3/21/18,375,375,375.75,373.75,149.27K,0.13%
3/20/18,374.5,375.25,377,373.25,204.62K,-0.13%
3/19/18,375,382,382,374.75,245.78K,-2.02%
3/16/18,382.75,386.25,387.5,382.5,150.93K,-1.03%
3/15/18,386.75,388.25,390.75,385.5,182.45K,0.85%
3/14/18,383.5,386.5,386.5,384.25,0.24K,-0.52%
3/13/18,385.5,383.75,388.75,383.5,2.04K,0.33%
3/12/18,384.25,382.75,384.25,380.5,1.46K,0.33%
3/9/18,383,385,385.25,382.5,2.98K,-0.71%
3/8/18,385.75,378.5,385.75,378,2.39K,1.71%
3/7/18,379.25,378.75,380.75,378.5,4.26K,-0.13%
3/6/18,379.75,377.75,380.25,377.25,2.30K,0.40%
3/5/18,378.25,376.25,378.5,374.75,8.18K,0.27%
3/2/18,377.25,377.75,380.25,376,5.92K,-0.40%
3/1/18,378.75,374,379,372,8.65K,1.13%
2/28/18,374.5,370.5,376.75,369.75,20.80K,1.08%
2/27/18,370.5,368.25,371,367.75,240.12K,0.54%
2/26/18,368.5,366.5,370,366.5,318.91K,0.61%
2/23/18,366.25,366.25,367.75,365.25,212.35K,-0.14%
2/22/18,366.75,365.5,367,364.25,229.12K,0.27%
2/21/18,365.75,365.75,368.5,364.25,266.66K,0.07%
2/20/18,365.5,369,370,365.25,319.32K,-0.48%
2/19/18,367.25,367.25,367.25,367.25,-,0.00%
2/18/18,367.25,367.25,367.25,367.25,-,-0.07%
2/16/18,367.5,368,368.5,366.5,185.26K,-0.07%
2/15/18,367.75,367,368.75,365.5,193.48K,0.14%
2/14/18,367.25,366.5,368.5,364.75,173.64K,0.14%
2/13/18,366.75,366.5,368.5,366,257.67K,-0.07%
2/12/18,367,365,367,364.25,264.08K,1.38%
2/9/18,362,364.75,365.5,361.5,254.70K,-1.03%
2/8/18,365.75,365,367.75,364.5,341.48K,0.14%
2/7/18,365.25,363.75,365.75,362.5,478.33K,0.48%
2/6/18,363.5,358.75,364,356.25,236.19K,1.32%
2/5/18,358.75,359.5,360.75,357.25,260.35K,-0.62%
2/4/18,361,361,361,361,-,-0.14%
2/2/18,361.5,361,362.5,359.5,198.99K,-0.07%
2/1/18,361.75,360.75,362,358.5,254.88K,0.07%
1/31/18,361.5,361.5,362,359.5,180.49K,0.00%
1/30/18,361.5,359.5,362.25,359,223.19K,0.77%
1/29/18,358.75,356.75,359.25,356.75,179.93K,0.63%
1/26/18,356.5,355,357,354.5,140.79K,0.35%
1/25/18,355.25,356,358,354.5,223.61K,-0.35%
1/24/18,356.5,351.25,357,349.75,326.30K,1.49%
1/23/18,351.25,351.75,352,349.5,204.57K,-0.21%
1/22/18,352,353.5,354.5,351.25,177.59K,-0.14%
1/19/18,352.5,351.5,354,351.25,145.95K,0.28%
1/18/18,351.5,352.5,354,350.5,186.65K,-0.42%
1/17/18,353,348.5,353.25,348.25,236.71K,1.36%
1/16/18,348.25,347.25,349.25,346,179.43K,0.58%
1/12/18,346.25,348.75,350,345.5,216.39K,-0.72%
1/11/18,348.75,349,350.5,348,159.18K,-0.07%
1/10/18,349,348.75,350,348,145.55K,0.00%
1/9/18,349,347.5,350,347.25,150.41K,0.50%
