Date,Price,Open,High,Low,Vol.,Change %
5/29/18,"1,033.25","1,045.75","1,049.50","1,028.00",-,-1.20%
5/28/18,"1,045.75","1,045.50","1,045.75","1,045.50",-,0.36%
5/25/18,"1,042.00","1,035.75","1,044.00","1,035.50",-,0.60%
5/24/18,"1,035.75","1,039.25","1,050.75","1,035.50",-,-0.34%
5/23/18,"1,039.25","1,030.75","1,039.75","1,027.75",-,0.87%
5/22/18,"1,030.25","1,022.25","1,035.75","1,020.25",-,0.73%
5/21/18,"1,022.75","1,016.75","1,027.00","1,011.75",-,2.48%
5/20/18,998,998,998,998,-,0.00%
5/18/18,998,997,"1,007.50",993.25,-,0.08%
5/17/18,997.25,"1,000.75","1,007.25",992.5,-,-0.35%
5/16/18,"1,000.75","1,018.00","1,018.50",998.75,-,-1.69%
5/15/18,"1,018.00","1,017.25","1,025.25","1,005.25",-,0.07%
5/14/18,"1,017.25","1,002.75","1,025.75","1,002.00",-,1.52%
5/11/18,"1,002.00","1,021.50","1,022.25","1,002.00",-,-1.88%
5/10/18,"1,021.25","1,018.00","1,033.25","1,014.25",-,0.32%
5/9/18,"1,018.00","1,022.50","1,023.75","1,011.25",-,-0.22%
5/8/18,"1,020.25","1,013.50","1,023.25","1,011.25",-,0.67%
5/7/18,"1,013.50","1,034.50","1,040.00","1,011.00",-,-2.08%
5/6/18,"1,035.00","1,035.00","1,035.00","1,035.00",-,-0.14%
5/4/18,"1,036.50","1,049.50","1,052.50","1,036.25",-,-1.26%
5/3/18,"1,049.75","1,042.00","1,055.50","1,034.00",-,0.70%
5/2/18,"1,042.50","1,054.50","1,054.75","1,039.75",-,-1.16%
5/1/18,"1,054.75","1,049.00","1,055.25","1,041.00",-,0.55%
4/30/18,"1,049.00","1,058.00","1,067.50","1,047.00",-,0.33%
4/27/18,"1,045.50","1,029.50","1,046.75","1,019.00",-,1.70%
4/26/18,"1,028.00","1,028.50","1,034.50","1,024.00",-,-0.02%
4/25/18,"1,028.25","1,023.25","1,033.25","1,020.50",-,0.54%
4/24/18,"1,022.75","1,020.75","1,026.25","1,016.25",-,0.20%
4/23/18,"1,020.75","1,026.75","1,033.25","1,017.25",-,-0.85%
4/22/18,"1,029.50","1,029.50","1,029.50","1,029.50",-,0.00%
4/20/18,"1,029.50","1,036.75","1,038.50","1,027.75",-,-0.70%
4/19/18,"1,036.75","1,041.50","1,044.75","1,032.75",-,-0.48%
4/18/18,"1,041.75","1,046.25","1,052.50","1,039.25",-,-0.41%
4/17/18,"1,046.00","1,043.25","1,049.00","1,040.25",-,0.31%
4/16/18,"1,042.75","1,054.75","1,058.75","1,041.50",-,-0.90%
4/13/18,"1,052.25","1,060.50","1,067.25","1,051.75",-,-0.78%
4/12/18,"1,060.50","1,047.75","1,061.75","1,047.50",-,1.22%
4/11/18,"1,047.75","1,051.00","1,058.50","1,047.25",-,-0.26%
4/10/18,"1,050.50","1,046.25","1,063.00","1,045.00",-,0.36%
4/9/18,"1,046.75","1,039.00","1,056.75","1,038.75",-,1.16%
4/6/18,"1,034.75","1,012.00","1,037.00","1,005.25",-,2.60%
4/5/18,"1,008.50","1,015.75","1,034.00","1,004.75",-,-0.66%
4/4/18,"1,015.25","1,038.75","1,041.50",983.5,-,-2.26%
4/3/18,"1,038.75","1,035.75","1,048.75","1,035.75",-,0.22%
4/2/18,"1,036.50","1,046.00","1,060.50","1,035.25",-,-0.79%
3/29/18,"1,044.75","1,020.25","1,050.50","1,012.50",-,2.45%
3/28/18,"1,019.75","1,019.00","1,023.25","1,015.25",-,0.07%
3/27/18,"1,019.00","1,026.75","1,031.00","1,017.25",-,-0.80%
3/26/18,"1,027.25","1,026.50","1,040.25","1,025.25",-,-0.05%
3/23/18,"1,027.75","1,026.75","1,034.25","1,009.25",-,-0.12%
3/22/18,"1,029.00","1,032.00","1,035.50","1,022.25",-,-0.07%
3/21/18,"1,029.75","1,029.50","1,037.25","1,025.00",-,0.19%
3/20/18,"1,027.75","1,022.75","1,029.75","1,022.25",-,0.49%
3/19/18,"1,022.75","1,045.25","1,045.25","1,022.00",-,-2.39%
3/16/18,"1,047.75","1,042.00","1,050.00","1,040.75",-,0.65%
3/15/18,"1,041.00","1,031.00","1,046.00","1,027.75",-,0.97%
3/14/18,"1,031.00","1,048.75","1,054.00","1,031.00",-,-1.67%
3/13/18,"1,048.50","1,042.00","1,052.00","1,041.75",-,0.67%
3/12/18,"1,041.50","1,036.25","1,044.75","1,032.00",-,0.46%
3/9/18,"1,036.75","1,062.00","1,065.00","1,036.75",-,-2.38%
3/8/18,"1,062.00","1,063.50","1,069.25","1,056.75",-,-0.14%
3/7/18,"1,063.50","1,074.75","1,077.25","1,063.00",-,-1.05%
3/6/18,"1,074.75","1,076.75","1,077.75","1,070.25",-,-0.19%
3/5/18,"1,076.75","1,073.50","1,079.25","1,066.50",-,0.63%
3/2/18,"1,070.00","1,067.75","1,082.50","1,063.75",-,0.23%
3/1/18,"1,067.50","1,055.00","1,068.50","1,050.75",-,1.18%
2/28/18,"1,055.00","1,049.00","1,059.00","1,046.25",-,0.57%
2/27/18,"1,049.00","1,046.25","1,055.75","1,043.75",-,0.26%
2/26/18,"1,046.25","1,051.25","1,059.50","1,045.75",-,0.89%
2/23/18,"1,037.00","1,031.50","1,039.50","1,028.50",-,0.53%
2/22/18,"1,031.50","1,034.00","1,037.00","1,027.25",-,-0.24%
2/21/18,"1,034.00","1,025.75","1,038.25","1,019.25",-,0.80%
2/20/18,"1,025.75","1,021.25","1,039.00","1,021.25",-,0.44%
2/19/18,"1,021.25","1,021.25","1,021.25","1,021.25",-,0.00%
2/18/18,"1,021.25","1,021.25","1,021.25","1,021.25",-,0.00%
2/16/18,"1,021.25","1,024.00","1,028.25","1,013.00",-,-0.27%
2/15/18,"1,024.00","1,017.00","1,024.50","1,015.75",-,0.69%
2/14/18,"1,017.00","1,010.75","1,019.50","1,006.00",-,0.62%
2/13/18,"1,010.75","1,001.25","1,013.50",998.75,-,0.95%
2/12/18,"1,001.25",996,"1,004.25",989,-,1.75%
2/9/18,984,987.5,989.5,979.75,-,-0.35%
2/8/18,987.5,984,995.75,978,-,0.36%
2/7/18,984,987,993.75,982,-,-0.30%
2/6/18,987,970.25,987.5,967.75,-,1.73%
2/5/18,970.25,978.5,978.5,969.5,-,-0.84%
2/4/18,978.5,978.5,978.5,978.5,-,0.00%
2/2/18,978.5,984.75,986.25,977,-,-0.63%
2/1/18,984.75,996.75,996.75,977.5,-,-1.20%
1/31/18,996.75,999.5,"1,002.00",989.25,-,-0.28%
1/30/18,999.5,991.25,"1,004.75",988.5,-,0.83%
1/29/18,991.25,991.75,998.75,986.25,-,0.53%
1/26/18,986,991.25,995.5,983.75,-,-0.53%
1/25/18,991.25,990.25,"1,001.50",987,-,0.10%
1/24/18,990.25,985.75,994.75,980.25,-,0.46%
1/23/18,985.75,983.25,988.75,979.5,-,0.25%
1/22/18,983.25,980.5,987.25,980.25,-,0.79%
1/19/18,975.5,972.5,982.75,972,-,0.31%
1/18/18,972.5,968.75,974.75,966.5,-,0.34%
1/17/18,969.25,966.75,969.25,961.25,-,0.26%
1/16/18,966.75,965.5,970,963.25,-,0.44%
1/12/18,962.5,949,962.5,944.5,-,1.42%
1/11/18,949,954.5,957.5,949,-,-0.58%
1/10/18,954.5,963.25,963.5,951.75,-,-0.91%
1/9/18,963.25,967,968.25,961.25,-,-0.39%
1/8/18,967,970,971.5,960.5,-,-0.28%
1/5/18,969.75,967.25,976.75,967.25,-,0.26%
1/4/18,967.25,969,969,959.25,-,-0.18%
1/3/18,969,965.5,970,963.5,-,0.36%
1/2/18,965.5,967.5,970,958.75,-,0.31%
12/29/17,962.5,956.5,963.5,955,-,0.63%
12/28/17,956.5,966.25,967.75,955,-,-1.01%
12/27/17,966.25,969.25,975.5,965.5,-,-0.31%
12/26/17,969.25,964,973.75,964,-,2.02%
12/22/17,950.1,947.88,959.12,946.62,-,0.18%
12/21/17,948.38,953.38,956.62,948.12,-,-0.60%
12/20/17,954.12,955.88,959.88,953.38,-,-0.18%
12/19/17,955.88,962.12,964.12,955.12,-,-0.60%
